;id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude
259;100098.0;216657.0;2018-01-01;segunda-feira;16:00:00;ES;101.0;204;JOAO NEIVA                                                  ;Não                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Nublado             ;Simples             ;Reta                          ;Sim       ;177876;Automóvel           ;VW                                                ;2001.0;Condutor            ;Ileso               ;44.0;Masculino           ;1;0;0;0;-19.74757427;-40.37750512
260;100098.0;216656.0;2018-01-01;segunda-feira;16:00:00;ES;101.0;204;JOAO NEIVA                                                  ;Não                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Nublado             ;Simples             ;Reta                          ;Sim       ;177875;Caminhonete         ;GM                                                ;2004.0;Condutor            ;Ileso               ;27.0;Masculino           ;1;0;0;0;-19.74757427;-40.37750512
261;100098.0;216654.0;2018-01-01;segunda-feira;16:00:00;ES;101.0;204;JOAO NEIVA                                                  ;Não                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Nublado             ;Simples             ;Reta                          ;Sim       ;177871;Motocicleta         ;HONDA                                             ;2014.0;Condutor            ;Lesões Leves        ;42.0;Masculino           ;0;1;0;0;-19.74757427;-40.37750512
262;100098.0;216653.0;2018-01-01;segunda-feira;16:00:00;ES;101.0;204;JOAO NEIVA                                                  ;Não                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Nublado             ;Simples             ;Reta                          ;Sim       ;177869;Automóvel           ;PEUGEOT                                           ;2002.0;Condutor            ;Ileso               ;32.0;Masculino           ;1;0;0;0;-19.74757427;-40.37750512
291;100108.0;216753.0;2018-01-01;segunda-feira;16:30:00;ES;101.0;307,5;VILA VELHA                                                  ;Sim                 ;Velocidade Incompatível                                                                             ;1;Saída de leito carroçável                                                                                                                                                                               ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Ignorado            ;Simples             ;Não Informado                 ;Não       ;177826;Automóvel           ;GM                                                ;2001.0;Condutor            ;Ileso               ;32.0;Masculino           ;1;0;0;0;-20.40288592;-40.4556486
292;100108.0;216756.0;2018-01-01;segunda-feira;16:30:00;ES;101.0;307,5;VILA VELHA                                                  ;Sim                 ;Velocidade Incompatível                                                                             ;1;Saída de leito carroçável                                                                                                                                                                               ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Ignorado            ;Simples             ;Não Informado                 ;Não       ;177826;Automóvel           ;GM                                                ;2001.0;Passageiro          ;Lesões Leves        ;6.0;Masculino           ;0;1;0;0;-20.40288592;-40.4556486
293;100108.0;216758.0;2018-01-01;segunda-feira;16:30:00;ES;101.0;307,5;VILA VELHA                                                  ;Sim                 ;Velocidade Incompatível                                                                             ;1;Saída de leito carroçável                                                                                                                                                                               ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Ignorado            ;Simples             ;Não Informado                 ;Não       ;177826;Automóvel           ;GM                                                ;2001.0;Passageiro          ;Lesões Leves        ;29.0;Feminino            ;0;1;0;0;-20.40288592;-40.4556486
294;100108.0;216754.0;2018-01-01;segunda-feira;16:30:00;ES;101.0;307,5;VILA VELHA                                                  ;Sim                 ;Velocidade Incompatível                                                                             ;1;Saída de leito carroçável                                                                                                                                                                               ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Ignorado            ;Simples             ;Não Informado                 ;Não       ;177826;Automóvel           ;GM                                                ;2001.0;Passageiro          ;Lesões Leves        ;10.0;Masculino           ;0;1;0;0;-20.40288592;-40.4556486
302;100112.0;216644.0;2018-01-01;segunda-feira;16:00:00;ES;101.0;428;ATILIO VIVACQUA                                             ;Sim                 ;Fenômenos da Natureza                                                                               ;1;Queda de ocupante de veículo                                                                                                                                                                            ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Chuva               ;Simples             ;Reta                          ;Não       ;177837;Motocicleta         ;                                                  ;;Condutor            ;Lesões Leves        ;25.0;Masculino           ;0;1;0;0;-20.91465;-41.19869
303;100112.0;216645.0;2018-01-01;segunda-feira;16:00:00;ES;101.0;428;ATILIO VIVACQUA                                             ;Sim                 ;Fenômenos da Natureza                                                                               ;1;Queda de ocupante de veículo                                                                                                                                                                            ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Chuva               ;Simples             ;Reta                          ;Não       ;177837;Motocicleta         ;                                                  ;;Passageiro          ;Lesões Leves        ;17.0;Feminino            ;0;1;0;0;-20.91465;-41.19869
543;100210.0;219285.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177982;Automóvel           ;VW                                                ;2004.0;Passageiro          ;Lesões Leves        ;34.0;Feminino            ;0;1;0;0;-18.517017000000003;-39.913296
544;100210.0;219288.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177982;Automóvel           ;VW                                                ;2004.0;Passageiro          ;Lesões Leves        ;26.0;Feminino            ;0;1;0;0;-18.517017000000003;-39.913296
545;100210.0;219287.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177982;Automóvel           ;VW                                                ;2004.0;Passageiro          ;Lesões Leves        ;10.0;Feminino            ;0;1;0;0;-18.517017000000003;-39.913296
546;100210.0;219286.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177982;Automóvel           ;VW                                                ;2004.0;Passageiro          ;Lesões Leves        ;8.0;Masculino           ;0;1;0;0;-18.517017000000003;-39.913296
547;100210.0;219283.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177982;Automóvel           ;VW                                                ;2004.0;Passageiro          ;Lesões Leves        ;6.0;Feminino            ;0;1;0;0;-18.517017000000003;-39.913296
548;100210.0;219261.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177981;Automóvel           ;VW                                                ;2012.0;Condutor            ;Ileso               ;43.0;Masculino           ;1;0;0;0;-18.517017000000003;-39.913296
549;100210.0;219264.0;2018-01-02;terça-feira;00:38:00;ES;101.0;42;CONCEICAO DA BARRA                                          ;Sim                 ;Restrição de Visibilidade                                                                           ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Garoa/Chuvisco      ;Simples             ;Reta                          ;Não       ;177982;Automóvel           ;VW                                                ;2004.0;Condutor            ;Lesões Leves        ;44.0;Masculino           ;0;1;0;0;-18.517017000000003;-39.913296
559;100217.0;218974.0;2018-01-02;terça-feira;02:10:00;ES;101.0;245,8;SERRA                                                       ;Sim                 ;Defeito Mecânico no Veículo                                                                         ;1;Colisão lateral                                                                                                                                                                                         ;Sem Vítimas;Plena Noite         ;Crescente           ;Nublado             ;Dupla               ;Desvio Temporário             ;Sim       ;179535;Trator de rodas     ;                                                  ;;Condutor            ;Ileso               ;57.0;Masculino           ;1;0;0;0;-20.05957954;-40.37809253
560;100217.0;218973.0;2018-01-02;terça-feira;02:10:00;ES;101.0;245,8;SERRA                                                       ;Sim                 ;Defeito Mecânico no Veículo                                                                         ;1;Colisão lateral                                                                                                                                                                                         ;Sem Vítimas;Plena Noite         ;Crescente           ;Nublado             ;Dupla               ;Desvio Temporário             ;Sim       ;179534;Caminhão-trator     ;VOLVO                                             ;1999.0;Condutor            ;Ileso               ;66.0;Masculino           ;1;0;0;0;-20.05957954;-40.37809253
792;100323.0;217374.0;2018-01-02;terça-feira;11:30:00;ES;101.0;280;SERRA                                                       ;Sim                 ;Pista Escorregadia                                                                                  ;1;Capotamento                                                                                                                                                                                             ;Sem Vítimas;Pleno dia           ;Crescente           ;Céu Claro           ;Dupla               ;Curva                         ;Não       ;178241;Automóvel           ;I                                                 ;2011.0;Condutor            ;Ileso               ;29.0;Masculino           ;1;0;0;0;-20.21806629;-40.35295486
796;100325.0;217095.0;2018-01-02;terça-feira;11:30:00;ES;101.0;280;SERRA                                                       ;Sim                 ;Velocidade Incompatível                                                                             ;1;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Céu Claro           ;Dupla               ;Curva                         ;Não       ;178237;Automóvel           ;TOYOTA                                            ;2009.0;Testemunha          ;Não Informado       ;;Não Informado       ;0;0;0;0;-20.217502;-40.352973999999996
797;100325.0;217087.0;2018-01-02;terça-feira;11:30:00;ES;101.0;280;SERRA                                                       ;Sim                 ;Velocidade Incompatível                                                                             ;1;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Céu Claro           ;Dupla               ;Curva                         ;Não       ;178237;Automóvel           ;TOYOTA                                            ;2009.0;Condutor            ;Lesões Graves       ;60.0;Masculino           ;0;0;1;0;-20.217502;-40.352973999999996
987;100403.0;219831.0;2018-01-02;terça-feira;16:40:00;ES;101.0;380,9;RIO NOVO DO SUL                                             ;Sim                 ;Velocidade Incompatível                                                                             ;1;Colisão com objeto estático                                                                                                                                                                             ;Sem Vítimas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Curva                         ;Não       ;178527;Automóvel           ;FIAT                                              ;2013.0;Condutor            ;Ileso               ;50.0;Masculino           ;1;0;0;0;-20.811322699999998;-40.83845884
